date,home_team,away_team,home_score,away_score,hc_line,hc_home,hc_away,ou_line,over,under
2018-04-08 00:30:00,Chicago Fire,Columbus Crew,1,0,0,1.87,2.05,+2.75,1.83,2.08
2018-04-08 01:30:00,Real Salt Lake,Vancouver Whitecaps,2,1,-0.5,1.85,2.08,+2.75,1.9,2.0
2018-04-08 20:00:00,Orlando City,Portland Timbers,3,2,-0.25,1.8399999999999999,2.09,+3,2.0700000000000003,1.83
2018-04-09 01:00:00,Los Angeles Galaxy,Sporting Kansas City,0,2,-0.25,1.99,1.9300000000000002,+2.75,2.01,1.8900000000000001
2018-04-11 23:00:00,New York City,Real Salt Lake,4,0,-1.25,2.0700000000000003,1.85,+3,1.92,1.98
2018-04-14 00:00:00,Philadelphia Union,Orlando City,0,2,-1,2.01,1.9100000000000001,+3,1.9300000000000002,1.97
2018-04-14 02:00:00,Vancouver Whitecaps,Los Angeles FC,0,2,-0.25,2.1100000000000003,1.8199999999999998,+3,1.99,1.9100000000000001
2018-04-14 17:00:00,New York Red Bulls,Club de Foot Montreal,3,1,-1.25,2.0700000000000003,1.85,+3,2.06,1.8399999999999999
2018-04-14 19:00:00,Colorado Rapids,Toronto FC,2,0,-0.5,2.02,1.9,+2.5,2.06,1.8399999999999999
2018-04-14 19:30:00,Chicago Fire,Los Angeles Galaxy,0,1,-0.25,2.1100000000000003,1.8199999999999998,+3,1.99,1.9100000000000001
2018-04-14 23:00:00,DC United,Columbus Crew,1,0,0,2.0700000000000003,1.85,+2.75,1.95,1.95
2018-04-14 23:30:00,New England Revolution,FC Dallas,0,1,-0.25,1.8599999999999999,2.06,+2.75,1.92,1.98
2018-04-15 02:30:00,San Jose Earthquakes,Houston Dynamo,2,2,-0.25,2.01,1.9100000000000001,+2.75,1.88,2.02
2018-04-15 02:30:00,Portland Timbers,Minnesota United,3,2,-1.5,1.98,1.94,+3.25,1.9300000000000002,1.97
2018-04-15 20:00:00,Sporting Kansas City,Seattle Sounders,2,2,-0.75,2.05,1.87,+2.25,1.8399999999999999,2.06
2018-04-15 22:00:00,Atlanta Utd,New York City,2,2,-0.5,2.04,1.88,+3,1.83,2.0700000000000003
