date,home_team,away_team,home_score,away_score,hc_line,hc_home,hc_away,ou_line,over,under
2017-03-04 01:30:00,Portland Timbers,Minnesota United,5,1,-1,1.8900000000000001,2.0300000000000002,+3,2.06,1.85
2017-03-04 18:00:00,Columbus Crew,Chicago Fire,1,1,-0.75,2.0700000000000003,1.85,+2.75,1.83,2.0700000000000003
2017-03-04 20:00:00,Los Angeles Galaxy,FC Dallas,1,2,-0.25,2.06,1.8599999999999999,+2.5,1.99,1.9100000000000001
2017-03-04 20:30:00,Real Salt Lake,Toronto FC,0,0,0,1.94,1.98,+2.5,2.02,1.88
2017-03-04 22:00:00,Colorado Rapids,New England Revolution,1,0,-0.5,2.08,1.85,+2.25,1.9300000000000002,1.97
2017-03-04 23:00:00,DC United,Sporting Kansas City,0,0,-0.25,2.02,1.9,+2.25,1.85,2.05
2017-03-05 00:30:00,Houston Dynamo,Seattle Sounders,2,1,-0.25,2.13,1.81,+2.5,2.05,1.85
2017-03-05 02:00:00,San Jose Earthquakes,Club de Foot Montreal,1,0,-0.5,2.1100000000000003,1.8199999999999998,+2.25,1.8599999999999999,2.04
2017-03-05 21:00:00,Orlando City,New York City,1,0,-0.25,1.85,2.08,+3.25,1.95,1.95
2017-03-05 23:30:00,Atlanta Utd,New York Red Bulls,1,2,0,1.83,2.1,+2.75,1.9300000000000002,1.96
2017-03-06 01:30:00,Vancouver Whitecaps,Philadelphia Union,0,0,-0.5,2.0700000000000003,1.85,+2.75,1.96,1.94
2017-03-11 18:00:00,Chicago Fire,Real Salt Lake,2,0,-0.75,2.04,1.88,+2.5,1.8399999999999999,2.06
2017-03-11 20:00:00,New York Red Bulls,Colorado Rapids,1,0,-0.75,1.9,2.02,+2.5,2.02,1.88
2017-03-11 20:30:00,Philadelphia Union,Toronto FC,2,2,0,2.08,1.85,+2.5,1.92,1.98
2017-03-11 23:00:00,Club de Foot Montreal,Seattle Sounders,2,2,-0.25,1.97,1.9300000000000002,+2.5,2.05,1.85
2017-03-12 00:30:00,Houston Dynamo,Columbus Crew,3,1,-0.25,1.98,1.94,+2.75,1.98,1.92
2017-03-12 01:00:00,Sporting Kansas City,FC Dallas,0,0,-0.5,1.8399999999999999,2.09,+2.5,1.92,1.98
2017-03-12 02:00:00,San Jose Earthquakes,Vancouver Whitecaps,3,2,-0.75,1.98,1.94,+2.25,1.98,1.92
2017-03-12 17:00:00,New York City,DC United,4,0,-0.75,2.01,1.9100000000000001,+3,2.01,1.8900000000000001
2017-03-12 20:00:00,Minnesota United,Atlanta Utd,1,6,0,1.85,2.0700000000000003,+2.5,2.04,1.8599999999999999
2017-03-12 22:00:00,Los Angeles Galaxy,Portland Timbers,0,1,-0.25,1.87,2.04,+2.75,1.9300000000000002,1.96
2017-03-18 17:00:00,New York City,Club de Foot Montreal,1,1,-0.75,1.99,1.9300000000000002,+3,1.97,1.9300000000000002
2017-03-18 19:00:00,Atlanta Utd,Chicago Fire,4,0,-0.5,1.9,2.02,+3,1.83,2.0700000000000003
2017-03-18 19:00:00,Vancouver Whitecaps,Toronto FC,0,2,0,1.78,2.15,+2.25,1.85,2.05
2017-03-18 22:00:00,DC United,Columbus Crew,0,2,-0.25,1.9300000000000002,1.99,+2.75,1.95,1.95
2017-03-18 22:30:00,Orlando City,Philadelphia Union,2,1,-0.25,1.85,2.08,+2.75,1.8900000000000001,2.01
2017-03-18 23:00:00,FC Dallas,New England Revolution,2,1,-1,2.12,1.81,+2.5,1.87,2.0300000000000002
2017-03-18 23:30:00,Sporting Kansas City,San Jose Earthquakes,2,1,-0.75,2.04,1.88,+2.5,2.08,1.83
2017-03-19 00:00:00,Colorado Rapids,Minnesota United,2,2,-1.25,2.01,1.9100000000000001,+2.75,2.04,1.87
2017-03-19 00:30:00,Real Salt Lake,Los Angeles Galaxy,1,2,-0.5,2.04,1.88,+2.5,2.0300000000000002,1.87
2017-03-19 01:30:00,Portland Timbers,Houston Dynamo,4,2,-0.75,1.96,1.96,+3,2.0700000000000003,1.83
2017-03-19 22:00:00,Seattle Sounders,New York Red Bulls,3,1,-0.25,1.83,2.09,+2.75,2.05,1.8399999999999999
2017-03-25 17:00:00,New England Revolution,Minnesota United,5,2,-1.25,1.96,1.96,+3,2.04,1.8599999999999999
2017-03-25 19:00:00,New York Red Bulls,Real Salt Lake,0,0,-1.25,2.0,1.92,+2.75,1.9300000000000002,1.97
2017-03-25 22:30:00,Columbus Crew,Portland Timbers,3,2,-0.75,1.99,1.9300000000000002,+3,1.88,2.02
2017-03-31 23:30:00,Toronto FC,Sporting Kansas City,0,0,-0.75,1.95,1.96,+2.5,1.96,1.94
2017-04-01 02:00:00,Seattle Sounders,Atlanta Utd,0,0,-0.75,1.85,2.08,+3,1.83,2.08
2017-04-01 18:00:00,New York City,San Jose Earthquakes,2,1,-0.75,2.05,1.87,+2.5,1.8399999999999999,2.06
2017-04-01 19:00:00,Chicago Fire,Club de Foot Montreal,2,2,-0.75,1.9,2.02,+2.75,1.98,1.92
2017-04-01 20:00:00,Columbus Crew,Orlando City,2,0,-0.75,1.88,2.04,+3,1.9300000000000002,1.97
2017-04-01 23:00:00,DC United,Philadelphia Union,2,1,-0.25,1.92,2.0,+2.5,1.8399999999999999,2.06
2017-04-02 00:00:00,Minnesota United,Real Salt Lake,4,2,0,2.06,1.8599999999999999,+3.25,2.05,1.85
2017-04-02 00:30:00,Houston Dynamo,New York Red Bulls,4,1,0,1.9300000000000002,1.99,+2.75,1.96,1.94
2017-04-02 02:00:00,Vancouver Whitecaps,Los Angeles Galaxy,4,2,-0.25,1.99,1.9300000000000002,+2.5,1.99,1.9100000000000001
2017-04-03 01:00:00,Portland Timbers,New England Revolution,1,1,-0.75,1.95,1.97,+3,1.98,1.9100000000000001
2017-04-08 02:30:00,Los Angeles Galaxy,Club de Foot Montreal,2,0,-1,2.0700000000000003,1.85,+3,2.01,1.8900000000000001
2017-04-08 18:00:00,New England Revolution,Houston Dynamo,2,0,-0.75,1.9100000000000001,2.01,+3,2.06,1.85
2017-04-08 18:00:00,Chicago Fire,Columbus Crew,1,0,-0.5,2.02,1.9,+3,2.04,1.8599999999999999
2017-04-08 20:00:00,DC United,New York City,2,1,-0.25,2.04,1.88,+3,2.08,1.83
2017-04-08 23:00:00,Philadelphia Union,Portland Timbers,1,3,-0.25,1.8599999999999999,2.06,+2.75,1.8900000000000001,2.01
2017-04-08 23:30:00,Toronto FC,Atlanta Utd,2,2,-0.75,1.83,2.09,+3,1.92,1.98
2017-04-09 00:00:00,FC Dallas,Minnesota United,2,0,-1.5,2.0300000000000002,1.88,+3.25,1.88,2.02
2017-04-09 01:30:00,Real Salt Lake,Vancouver Whitecaps,3,0,-0.5,1.95,1.97,+2.5,1.9100000000000001,1.99
2017-04-09 02:30:00,San Jose Earthquakes,Seattle Sounders,1,1,-0.25,2.13,1.81,+2.25,1.9100000000000001,1.99
2017-04-09 20:00:00,Orlando City,New York Red Bulls,1,0,0,2.0300000000000002,1.8900000000000001,+2.75,1.92,1.98
2017-04-09 23:00:00,Sporting Kansas City,Colorado Rapids,3,1,-0.75,1.99,1.9300000000000002,+2.25,1.97,1.9300000000000002
2017-04-14 23:00:00,Philadelphia Union,New York City,0,2,-0.25,2.04,1.88,+3,1.9300000000000002,1.97
2017-04-15 02:00:00,Vancouver Whitecaps,Seattle Sounders,2,1,0,2.04,1.88,+2.5,2.0,1.9
2017-04-15 03:00:00,San Jose Earthquakes,FC Dallas,1,1,0,1.92,2.0,+2.25,1.92,1.98
2017-04-15 17:00:00,Club de Foot Montreal,Atlanta Utd,2,1,-0.25,1.87,2.05,+3,2.0,1.9
2017-04-15 18:30:00,Orlando City,Los Angeles Galaxy,2,1,-0.25,1.99,1.9300000000000002,+2.5,1.9100000000000001,1.99
2017-04-15 21:00:00,Chicago Fire,New England Revolution,3,0,-0.5,2.04,1.88,+2.75,1.98,1.9100000000000001
2017-04-15 23:30:00,New York Red Bulls,DC United,2,0,-1,1.9100000000000001,2.01,+3,2.01,1.8900000000000001
