date,home_team,away_team,home_score,away_score,hc_line,hc_home,hc_away,ou_line,over,under
2021-04-17,Houston Dynamo,San Jose Earthquakes,2,1,-0.5,1.87,2.04,+3,2.0,1.8900000000000001
2021-04-17,Seattle Sounders,Minnesota United,4,0,-0.75,2.08,1.8399999999999999,+2.75,2.01,1.88
2021-04-17,Club de Foot Montreal,Toronto FC,4,2,+0.25,1.88,2.0300000000000002,+2.75,1.97,1.92
2021-04-17,Orlando City,Atlanta Utd,0,0,-0.5,1.87,2.04,+2.75,1.96,1.9300000000000002
2021-04-17,Los Angeles FC,Austin FC,2,0,-1.5,2.04,1.87,+3.25,1.85,2.05
2021-04-18,Columbus Crew,Philadelphia Union,0,0,-0.5,1.87,2.05,+2.5,1.87,2.02
2021-04-18,DC United,New York City,2,1,+0.5,1.99,1.92,+2.75,1.9300000000000002,1.96
2021-04-18,Nashville SC,FC Cincinnati,2,2,-0.75,2.02,1.8900000000000001,+2,1.92,1.96
2021-04-18,Chicago Fire,New England Revolution,2,2,0,1.81,2.12,+2.75,1.9300000000000002,1.95
2021-04-18,New York Red Bulls,Sporting Kansas City,1,2,-0.25,1.88,2.02,+2.5,1.85,2.05
2021-04-18,FC Dallas,Colorado Rapids,0,0,-0.25,1.9300000000000002,1.97,+2.75,1.96,1.9300000000000002
2021-04-19,Vancouver Whitecaps,Portland Timbers,1,0,+0.75,1.8900000000000001,2.02,+2.75,1.94,1.94
2021-04-23,Sporting Kansas City,Orlando City,1,1,-0.25,1.85,2.06,+2.75,1.98,1.9100000000000001
2021-04-24,New York City,FC Cincinnati,5,0,-1.25,1.9100000000000001,2.0,+3,1.92,1.97
2021-04-24,Toronto FC,Vancouver Whitecaps,2,2,-0.5,1.85,2.0700000000000003,+2.75,1.9300000000000002,1.96
2021-04-24,San Jose Earthquakes,FC Dallas,3,1,-0.25,1.9300000000000002,1.98,+2.75,1.8900000000000001,1.99
2021-04-24,Los Angeles FC,Seattle Sounders,1,1,-0.75,2.05,1.8599999999999999,+3,1.8199999999999998,2.08
2021-04-24,Nashville SC,Club de Foot Montreal,2,2,-1,1.99,1.92,+2.75,1.9300000000000002,1.95
2021-04-25,Los Angeles Galaxy,New York Red Bulls,3,2,-0.5,2.0700000000000003,1.85,+3,2.02,1.88
2021-04-25,Portland Timbers,Houston Dynamo,2,1,-0.5,2.08,1.8399999999999999,+3,1.99,1.9
2021-04-25,Philadelphia Union,Inter Miami,1,2,-0.5,2.04,1.88,+2.75,1.98,1.9100000000000001
2021-04-25,New England Revolution,DC United,1,0,-1.25,2.1100000000000003,1.81,+2.75,1.9,1.99
2021-04-25,Minnesota United,Real Salt Lake,1,2,-0.75,2.0,1.9100000000000001,+2.75,1.94,1.94
2021-04-25,Atlanta Utd,Chicago Fire,3,1,-0.5,1.99,1.92,+2.75,1.96,1.9300000000000002
2021-04-25,Colorado Rapids,Austin FC,1,3,-1,1.98,1.9300000000000002,+3,1.92,1.97
2021-05-01,Orlando City,FC Cincinnati,3,0,-1.25,2.05,1.8599999999999999,+2.75,1.8399999999999999,2.05
2021-05-01,Philadelphia Union,New York City,0,2,0,1.87,2.04,+2.75,1.97,1.92
2021-05-01,New England Revolution,Atlanta Utd,2,1,-0.5,1.88,2.0300000000000002,+2.5,1.87,2.02
2021-05-01,Houston Dynamo,Los Angeles FC,1,1,+0.25,1.9300000000000002,1.98,+3.25,1.98,1.9100000000000001
2021-05-01,Club de Foot Montreal,Columbus Crew,0,0,+0.25,1.92,1.98,+2.75,1.96,1.9300000000000002
2021-05-01,Real Salt Lake,Sporting Kansas City,3,1,0,1.8900000000000001,2.02,+2.75,2.0300000000000002,1.8599999999999999
2021-05-01,New York Red Bulls,Chicago Fire,2,0,-0.25,1.8599999999999999,2.05,+2.75,1.8399999999999999,2.05
2021-05-02,Minnesota United,Austin FC,0,1,-0.5,1.98,1.92,+2.75,1.9,1.99
2021-05-02,FC Dallas,Portland Timbers,4,1,-0.5,1.9100000000000001,2.0,+2.75,1.9,1.99
2021-05-02,San Jose Earthquakes,DC United,4,1,-0.5,1.9300000000000002,1.98,+2.75,1.97,1.92
2021-05-02,Nashville SC,Inter Miami,0,0,-0.75,2.1,1.83,+2.25,1.88,2.01
2021-05-03,Seattle Sounders,Los Angeles Galaxy,3,0,-1.25,2.0300000000000002,1.88,+3.25,1.92,1.97
2021-05-03,Vancouver Whitecaps,Colorado Rapids,0,1,+0.5,1.98,1.9300000000000002,+2.75,1.8599999999999999,2.0300000000000002
2021-05-08,Vancouver Whitecaps,Club de Foot Montreal,2,0,+0.25,1.9300000000000002,1.98,+2.75,1.87,2.02
2021-05-08,FC Dallas,Houston Dynamo,1,1,-0.5,2.09,1.83,+2.75,1.9300000000000002,1.96
2021-05-08,Orlando City,New York City,1,1,-0.5,2.0700000000000003,1.8399999999999999,+2.75,1.9,1.99
2021-05-08,Columbus Crew,DC United,3,1,-0.75,1.8599999999999999,2.05,+2.5,1.8900000000000001,2.0
2021-05-08,Nashville SC,New England Revolution,2,0,-0.25,1.98,1.9300000000000002,+2.25,1.83,2.06
2021-05-08,Chicago Fire,Philadelphia Union,0,2,-0.25,2.05,1.87,+2.75,1.85,2.04
