date,home_team,away_team,home_score,away_score,hc_line,hc_home,hc_away,ou_line,over,under
2020-02-29 17:00:00,DC United,Colorado Rapids,1,2,-0.25,1.8199999999999998,2.08,+2.75,1.9,1.98
2020-02-29 19:00:00,Club de Foot Montreal,New England Revolution,2,1,+0.25,1.79,2.12,+2.75,1.95,1.9300000000000002
2020-02-29 19:30:00,Houston Dynamo,Los Angeles Galaxy,1,1,-0.25,1.8900000000000001,2.0,+3.25,1.87,2.01
2020-02-29 21:30:00,San Jose Earthquakes,Toronto FC,2,2,-0.5,1.9300000000000002,1.96,+3,1.88,2.0
2020-02-29 22:00:00,Orlando City,Real Salt Lake,0,0,-0.5,1.99,1.9100000000000001,+2.5,1.99,1.8900000000000001
2020-02-29 22:00:00,FC Dallas,Philadelphia Union,2,0,-0.5,1.9300000000000002,1.98,+2.75,1.99,1.8900000000000001
2020-03-01 00:00:00,Nashville SC,Atlanta Utd,1,2,+0.25,2.05,1.85,+2.75,1.99,1.88
2020-03-01 02:30:00,Vancouver Whitecaps,Sporting Kansas City,1,3,+0.25,2.0,1.9,+3,2.06,1.8199999999999998
2020-03-01 16:30:00,Columbus Crew,New York City,1,0,-0.25,1.98,1.9300000000000002,+2.75,1.9100000000000001,1.97
2020-03-01 17:00:00,New York Red Bulls,FC Cincinnati,3,2,-1,2.02,1.88,+3,1.95,1.9300000000000002
2020-03-01 19:00:00,Seattle Sounders,Chicago Fire,2,1,-0.5,2.0700000000000003,1.83,+2.75,1.98,1.9
2020-03-01 21:30:00,Los Angeles FC,Inter Miami,1,0,-1.75,2.0300000000000002,1.8599999999999999,+3.5,1.87,2.01
2020-03-01 23:30:00,Portland Timbers,Minnesota United,1,3,-0.75,2.02,1.88,+3,1.9100000000000001,1.97
2020-03-07 17:30:00,New England Revolution,Chicago Fire,1,1,-0.25,1.8599999999999999,2.0300000000000002,+3,1.85,2.02
2020-03-07 18:00:00,Real Salt Lake,New York Red Bulls,1,1,-0.25,2.1,1.8,+2.75,2.04,1.85
2020-03-07 19:00:00,FC Dallas,Club de Foot Montreal,2,2,-1,1.9,2.0,+2.75,1.8199999999999998,2.06
2020-03-07 19:30:00,DC United,Inter Miami,2,1,-0.25,2.04,1.85,+2.75,1.92,1.97
