date,home_team,away_team,home_score,away_score,hc_line,hc_home,hc_away,ou_line,over,under
2019-03-02 17:00:00,Philadelphia Union,Toronto FC,1,3,-0.75,1.97,1.9300000000000002,+2.75,1.85,2.0300000000000002
2019-03-02 18:30:00,Orlando City,New York City,2,2,+0.25,1.87,2.0300000000000002,+2.75,1.85,2.0300000000000002
2019-03-02 20:30:00,Columbus Crew,New York Red Bulls,1,1,-1,1.98,1.9300000000000002,+2.5,1.8599999999999999,2.01
2019-03-02 20:30:00,FC Dallas,New England Revolution,1,1,-0.75,1.99,1.92,+2.75,1.94,1.94
2019-03-02 22:00:00,Colorado Rapids,Portland Timbers,3,3,0,1.9300000000000002,1.97,+2.5,1.88,1.99
2019-03-02 22:00:00,Houston Dynamo,Real Salt Lake,1,1,-0.75,2.02,1.88,+3,1.81,2.0700000000000003
2019-03-02 22:00:00,Vancouver Whitecaps,Minnesota United,2,3,-0.25,1.9,2.0,+2.5,1.83,2.05
2019-03-03 00:00:00,Los Angeles Galaxy,Chicago Fire,2,1,-0.75,2.08,1.83,+2.75,1.8900000000000001,1.99
2019-03-03 02:00:00,San Jose Earthquakes,Club de Foot Montreal,1,2,-0.25,2.1,1.81,+2.75,1.99,1.8900000000000001
2019-03-03 02:00:00,Seattle Sounders,FC Cincinnati,4,1,-1,2.02,1.88,+2.75,1.97,1.9100000000000001
2019-03-03 22:00:00,DC United,Atlanta Utd,2,0,0,1.81,2.1,+2.75,1.8599999999999999,2.02
2019-03-04 00:30:00,Los Angeles FC,Sporting Kansas City,2,1,-0.25,1.88,2.01,+3,1.9,1.98
2019-03-09 17:00:00,Chicago Fire,Orlando City,1,1,-0.75,2.0,1.9,+3,1.97,1.92
2019-03-09 18:00:00,New England Revolution,Columbus Crew,0,2,-0.25,2.1,1.81,+2.75,1.9300000000000002,1.95
2019-03-09 19:30:00,FC Dallas,Los Angeles Galaxy,2,0,-1,2.05,1.85,+3,2.01,1.87
2019-03-09 21:00:00,Houston Dynamo,Club de Foot Montreal,2,1,-0.25,2.0,1.9,+2.75,1.9100000000000001,1.97
2019-03-09 22:00:00,Real Salt Lake,Vancouver Whitecaps,1,0,-1,2.0700000000000003,1.83,+3,1.97,1.92
2019-03-10 00:00:00,San Jose Earthquakes,Minnesota United,0,3,-0.25,2.12,1.79,+3,1.97,1.9100000000000001
2019-03-10 02:00:00,Seattle Sounders,Colorado Rapids,2,0,-1.25,1.97,1.9300000000000002,+3,2.02,1.8599999999999999
2019-03-10 18:00:00,New York City,DC United,0,0,-0.5,1.92,1.98,+3,2.01,1.87
2019-03-10 18:00:00,Sporting Kansas City,Philadelphia Union,2,0,-0.75,1.97,1.9300000000000002,+2.75,1.85,2.0300000000000002
2019-03-10 20:00:00,Atlanta Utd,FC Cincinnati,1,1,-1.75,1.95,1.95,+3.25,1.95,1.9300000000000002
2019-03-10 22:30:00,Los Angeles FC,Portland Timbers,4,1,-1,2.05,1.85,+3.25,2.02,1.8599999999999999
2019-03-16 16:00:00,Chicago Fire,Seattle Sounders,2,4,-0.25,2.12,1.79,+2.5,1.96,1.92
2019-03-16 17:00:00,Columbus Crew,FC Dallas,1,0,-0.75,1.92,1.98,+2.5,2.0,1.88
2019-03-16 18:00:00,Houston Dynamo,Vancouver Whitecaps,3,2,-0.75,1.88,2.02,+2.75,1.83,2.06
2019-03-16 18:30:00,New York Red Bulls,San Jose Earthquakes,4,1,-1.5,2.0,1.9,+3,1.83,2.05
2019-03-16 19:00:00,Orlando City,Club de Foot Montreal,1,3,-0.25,1.9100000000000001,1.99,+3,2.05,1.83
2019-03-16 23:00:00,DC United,Real Salt Lake,5,0,-0.75,1.8199999999999998,2.08,+3,2.06,1.83
2019-03-17 01:30:00,Los Angeles Galaxy,Minnesota United,3,2,0,1.92,1.98,+3,1.94,1.9300000000000002
2019-03-17 18:00:00,New York City,Los Angeles FC,2,2,-0.25,1.83,2.0700000000000003,+3,2.01,1.88
2019-03-17 20:00:00,FC Cincinnati,Portland Timbers,3,0,-0.25,1.9300000000000002,1.97,+2.75,1.81,2.0700000000000003
2019-03-17 22:00:00,Atlanta Utd,Philadelphia Union,1,1,-1,1.8599999999999999,2.04,+3,2.04,1.8399999999999999
2019-03-17 22:30:00,Toronto FC,New England Revolution,3,2,-0.75,1.88,2.01,+3,2.0300000000000002,1.85
2019-03-18 00:00:00,Colorado Rapids,Sporting Kansas City,1,1,+0.25,1.94,1.96,+2.75,2.01,1.8599999999999999
2019-03-23 20:45:00,FC Dallas,Colorado Rapids,2,1,-1,2.0700000000000003,1.83,+2.75,1.94,1.9300000000000002
2019-03-23 22:30:00,Philadelphia Union,Columbus Crew,3,0,-0.25,1.98,1.92,+2.5,1.85,2.0300000000000002
2019-03-23 22:30:00,New York Red Bulls,Orlando City,0,1,-1.25,2.01,1.8900000000000001,+3.25,1.96,1.92
2019-03-24 01:30:00,Los Angeles FC,Real Salt Lake,2,1,-1.75,1.97,1.9300000000000002,+3.5,1.94,1.9300000000000002
2019-03-24 19:00:00,New England Revolution,FC Cincinnati,0,2,-1,2.06,1.85,+3,2.0300000000000002,1.85
2019-03-30 16:00:00,Chicago Fire,New York Red Bulls,1,0,0,2.12,1.79,+2.75,1.99,1.8900000000000001
2019-03-30 17:00:00,New England Revolution,Minnesota United,2,1,-0.25,1.85,2.05,+3,2.0300000000000002,1.85
2019-03-30 18:00:00,Sporting Kansas City,Club de Foot Montreal,7,1,-1,1.99,1.92,+2.75,1.8399999999999999,2.04
2019-03-30 18:30:00,San Jose Earthquakes,Los Angeles FC,0,5,+0.5,1.92,1.99,+3.25,2.06,1.8199999999999998
