date,home_team,away_team,home_score,away_score,hc_line,hc_home,hc_away,ou_line,over,under,home_underlying,away_underlying
2019-03-02 17:00:00,Philadelphia Union,Toronto FC,1,3,-0.75,1.97,1.93,2.75,1.85,2.03,1.9083186132310528,1.130491078898915
2019-03-02 18:30:00,Orlando City,New York City,2,2,0.25,1.87,2.03,2.75,1.85,2.03,1.4240283238199365,1.6257683648591568
2019-03-02 20:30:00,Columbus Crew,New York Red Bulls,1,1,-1.0,1.98,1.93,2.5,1.86,2.01,1.9195041375789355,0.8666249712809547
2019-03-02 20:30:00,FC Dallas,New England Revolution,1,1,-0.75,1.99,1.92,2.75,1.94,1.94,1.85378647664295,1.088279480890971
2019-03-02 22:00:00,Colorado Rapids,Portland Timbers,3,3,0.0,1.93,1.97,2.5,1.88,1.99,1.3960197634734681,1.380564398957839
2019-03-02 22:00:00,Houston Dynamo,Real Salt Lake,1,1,-0.75,2.02,1.88,3.0,1.81,2.0700000000000003,2.0238939132449705,1.3020893119640702
2019-03-02 22:00:00,Vancouver Whitecaps,Minnesota United,2,3,-0.25,1.9,2.0,2.5,1.83,2.05,1.5812045525421952,1.2546644135785494
2019-03-03 00:00:00,Los Angeles Galaxy,Chicago Fire,2,1,-0.75,2.08,1.83,2.75,1.89,1.99,1.8370824278937476,1.159626141972472
2019-03-03 02:00:00,San Jose Earthquakes,Club de Foot Montreal,1,2,-0.25,2.1,1.81,2.75,1.99,1.89,1.5198837053546757,1.3754813467089428
2019-03-03 02:00:00,Seattle Sounders,FC Cincinnati,4,1,-1.0,2.02,1.88,2.75,1.97,1.91,1.959774472459832,0.9475234554135304
2019-03-03 22:00:00,DC United,Atlanta Utd,2,0,0.0,1.81,2.1,2.75,1.86,2.02,1.5774196205057849,1.4582743696396077
2019-03-04 00:30:00,Los Angeles FC,Sporting Kansas City,2,1,-0.25,1.88,2.01,3.0,1.9,1.98,1.7895610150561694,1.4494006949438931
2019-03-09 17:00:00,Chicago Fire,Orlando City,1,1,-0.75,2.0,1.9,3.0,1.97,1.92,1.9578521750235562,1.212298016368891
2019-03-09 18:00:00,New England Revolution,Columbus Crew,0,2,-0.25,2.1,1.81,2.75,1.93,1.95,1.55077967205268,1.4086816602843855
2019-03-09 19:30:00,FC Dallas,Los Angeles Galaxy,2,0,-1.0,2.05,1.85,3.0,2.01,1.87,2.0515592184503473,1.0721014519306602
2019-03-09 21:00:00,Houston Dynamo,Club de Foot Montreal,2,1,-0.25,2.0,1.9,2.75,1.91,1.97,1.6055646474197578,1.374571307541874
2019-03-09 22:00:00,Real Salt Lake,Vancouver Whitecaps,1,0,-1.0,2.0700000000000003,1.83,3.0,1.97,1.92,2.064176041574702,1.1036523201293436
2019-03-10 00:00:00,San Jose Earthquakes,Minnesota United,0,3,-0.25,2.12,1.79,3.0,1.97,1.91,1.6432536822039177,1.5278654719114275
2019-03-10 02:00:00,Seattle Sounders,Colorado Rapids,2,0,-1.25,1.97,1.93,3.0,2.02,1.86,2.2151159556129056,0.8952198191329473
2019-03-10 18:00:00,New York City,DC United,0,0,-0.5,1.92,1.98,3.0,2.01,1.87,1.8504939421509046,1.2771733199121627
2019-03-10 18:00:00,Sporting Kansas City,Philadelphia Union,2,0,-0.75,1.97,1.93,2.75,1.85,2.03,1.9083186132310528,1.130491078898915
2019-03-10 20:00:00,Atlanta Utd,FC Cincinnati,1,1,-1.75,1.95,1.95,3.25,1.95,1.93,2.6381968658817394,0.7921089536453074
2019-03-10 22:30:00,Los Angeles FC,Portland Timbers,4,1,-1.0,2.05,1.85,3.25,2.02,1.86,2.166006694042346,1.194482377462622
2019-03-16 16:00:00,Chicago Fire,Seattle Sounders,2,4,-0.25,2.12,1.79,2.5,1.96,1.92,1.4126600027039302,1.278463645826652
