date,home_team,away_team,home_score,away_score,hc_line,hc_home,hc_away,ou_line,over,under,home_underlying,away_underlying
2017-03-04 01:30:00,Portland Timbers,Minnesota United,5,1,-1.0,1.89,2.03,3.0,2.06,1.85,2.107475326959077,0.9816542295857129
2017-03-04 18:00:00,Columbus Crew,Chicago Fire,1,1,-0.75,2.0700000000000003,1.85,2.75,1.83,2.0700000000000003,1.8809630080206272,1.1912100192305204
2017-03-04 20:00:00,Los Angeles Galaxy,FC Dallas,1,2,-0.25,2.06,1.86,2.5,1.99,1.91,1.43101949184214,1.237582984485642
2017-03-04 20:30:00,Real Salt Lake,Toronto FC,0,0,0.0,1.94,1.98,2.5,2.02,1.88,1.3262200830848478,1.3113132403938752
2017-03-04 22:00:00,Colorado Rapids,New England Revolution,1,0,-0.5,2.08,1.85,2.25,1.93,1.97,1.4570326395252222,1.011498089094574
2017-03-04 23:00:00,DC United,Sporting Kansas City,0,0,-0.25,2.02,1.9,2.25,1.85,2.05,1.3905040809536189,1.1582345421574183
2017-03-05 00:30:00,Houston Dynamo,Seattle Sounders,2,1,-0.25,2.13,1.81,2.5,2.05,1.85,1.3736311078308596,1.2301510563701263
2017-03-05 02:00:00,San Jose Earthquakes,Club de Foot Montreal,1,0,-0.5,2.1100000000000003,1.82,2.25,1.86,2.04,1.4748752972802524,1.0618198406188668
2017-03-05 21:00:00,Orlando City,New York City,1,0,-0.25,1.85,2.08,3.25,1.95,1.95,1.9243545342767063,1.5337617367951684
2017-03-05 23:30:00,Atlanta Utd,New York Red Bulls,1,2,0.0,1.83,2.1,2.75,1.93,1.96,1.53693489478184,1.4281818252481746
2017-03-06 01:30:00,Vancouver Whitecaps,Philadelphia Union,0,0,-0.5,2.0700000000000003,1.85,2.75,1.96,1.94,1.6826647856034824,1.2525328861555425
2017-03-11 18:00:00,Chicago Fire,Real Salt Lake,2,0,-0.75,2.04,1.88,2.5,1.84,2.06,1.7780768741308999,1.0518175720659617
2017-03-11 20:00:00,New York Red Bulls,Colorado Rapids,1,0,-0.75,1.9,2.02,2.5,2.02,1.88,1.7440244678862327,0.8847298713267324
2017-03-11 20:30:00,Philadelphia Union,Toronto FC,2,2,0.0,2.08,1.85,2.5,1.92,1.98,1.3302740184916027,1.418705584884009
2017-03-11 23:00:00,Club de Foot Montreal,Seattle Sounders,2,2,-0.25,1.97,1.93,2.5,2.05,1.85,1.434301919407716,1.1683657703199182
2017-03-12 00:30:00,Houston Dynamo,Columbus Crew,3,1,-0.25,1.98,1.94,2.75,1.98,1.92,1.5881050181043903,1.3276197084543317
2017-03-12 01:00:00,Sporting Kansas City,FC Dallas,0,0,-0.5,1.84,2.09,2.5,1.92,1.98,1.7076007265228836,1.0329205945688025
2017-03-12 02:00:00,San Jose Earthquakes,Vancouver Whitecaps,3,2,-0.75,1.98,1.94,2.25,1.98,1.92,1.6050220172268594,0.8118754672148276
2017-03-12 17:00:00,New York City,DC United,4,0,-0.75,2.01,1.91,3.0,2.01,1.89,1.9413280320140898,1.194733637215226
2017-03-12 20:00:00,Minnesota United,Atlanta Utd,1,6,0.0,1.85,2.0700000000000003,2.5,2.04,1.86,1.3486600649510645,1.2664755669582906
2017-03-12 22:00:00,Los Angeles Galaxy,Portland Timbers,0,1,-0.25,1.87,2.04,2.75,1.93,1.96,1.6607876284132503,1.3018222392805472
2017-03-18 17:00:00,New York City,Club de Foot Montreal,1,1,-0.75,1.99,1.93,3.0,1.97,1.93,1.9701727321554645,1.2047287968776934
2017-03-18 19:00:00,Atlanta Utd,Chicago Fire,4,0,-0.5,1.9,2.02,3.0,1.83,2.0700000000000003,1.9603148967923647,1.3562786884315376
2017-03-18 19:00:00,Vancouver Whitecaps,Toronto FC,0,2,0.0,1.78,2.15,2.25,1.85,2.05,1.3429632728507952,1.2068591523219503
2017-03-18 22:00:00,DC United,Columbus Crew,0,2,-0.25,1.93,1.99,2.75,1.95,1.95,1.6270368277494565,1.3200790946767014
2017-03-18 22:30:00,Orlando City,Philadelphia Union,2,1,-0.25,1.85,2.08,2.75,1.89,2.01,1.698898279823498,1.3117246572147683
2017-03-18 23:00:00,FC Dallas,New England Revolution,2,1,-1.0,2.12,1.81,2.5,1.87,2.03,1.870370233472952,0.9223003482473588
2017-03-18 23:30:00,Sporting Kansas City,San Jose Earthquakes,2,1,-0.75,2.04,1.88,2.5,2.08,1.83,1.6533527695738475,0.9182181770226805
2017-03-19 00:00:00,Colorado Rapids,Minnesota United,2,2,-1.25,2.01,1.91,2.75,2.04,1.87,2.0734755217892125,0.7736393564110804
2017-03-19 00:30:00,Real Salt Lake,Los Angeles Galaxy,1,2,-0.5,2.04,1.88,2.5,2.03,1.87,1.5474190672637564,1.0748434086107312
2017-03-19 01:30:00,Portland Timbers,Houston Dynamo,4,2,-0.75,1.96,1.96,3.0,2.0700000000000003,1.83,1.9371103284064586,1.140531810817484
2017-03-19 22:00:00,Seattle Sounders,New York Red Bulls,3,1,-0.25,1.83,2.09,2.75,2.05,1.84,1.6178837772783943,1.2175696772495315
2017-03-25 17:00:00,New England Revolution,Minnesota United,5,2,-1.25,1.96,1.96,3.0,2.04,1.86,2.2205023969707405,0.8804435007620351
2017-03-25 19:00:00,New York Red Bulls,Real Salt Lake,0,0,-1.25,2.0,1.92,2.75,1.93,1.97,2.130783923132584,0.8253682382998356
2017-03-25 22:30:00,Columbus Crew,Portland Timbers,3,2,-0.75,1.99,1.93,3.0,1.88,2.02,2.013909455755429,1.2501954789157506
2017-03-31 23:30:00,Toronto FC,Sporting Kansas City,0,0,-0.75,1.95,1.96,2.5,1.96,1.94,1.751501715425214,0.9431559787120598
2017-04-01 02:00:00,Seattle Sounders,Atlanta Utd,0,0,-0.75,1.85,2.08,3.0,1.83,2.08,2.1129472908820426,1.2044716001712847
2017-04-01 18:00:00,New York City,San Jose Earthquakes,2,1,-0.75,2.05,1.87,2.5,1.84,2.06,1.773459291378992,1.0565689402814786
2017-04-01 19:00:00,Chicago Fire,Club de Foot Montreal,2,2,-0.75,1.9,2.02,2.75,1.98,1.92,1.8828012788805668,1.0265571349302964
2017-04-01 20:00:00,Columbus Crew,Orlando City,2,0,-0.75,1.88,2.04,3.0,1.93,1.97,2.0434195396365666,1.1696287641424261
2017-04-01 23:00:00,DC United,Philadelphia Union,2,1,-0.25,1.92,2.0,2.5,1.84,2.06,1.5762080842344839,1.2591265203154527
2017-04-02 00:00:00,Minnesota United,Real Salt Lake,4,2,0.0,2.06,1.86,3.25,2.05,1.85,1.6300030204652822,1.7168802700375076
2017-04-02 00:30:00,Houston Dynamo,New York Red Bulls,4,1,0.0,1.93,1.99,2.75,1.96,1.94,1.4815203741275098,1.457569650604879
2017-04-02 02:00:00,Vancouver Whitecaps,Los Angeles Galaxy,4,2,-0.25,1.99,1.93,2.5,1.99,1.91,1.4619426547539687,1.206106726477548
2017-04-03 01:00:00,Portland Timbers,New England Revolution,1,1,-0.75,1.95,1.97,3.0,1.98,1.91,1.9824188644491656,1.1773043752987555
