date,home_team,away_team,home_score,away_score,hc_line,hc_home,hc_away,ou_line,over,under,home_underlying,away_underlying
2021-04-17,Houston Dynamo,San Jose Earthquakes,2,1,-0.5,1.87,2.04,3.0,2.0,1.89,1.8871149757025505,1.2547966594730133
2021-04-17,Seattle Sounders,Minnesota United,4,0,-0.75,2.08,1.84,2.75,2.01,1.88,1.7807707011459224,1.093678953562229
2021-04-17,Club de Foot Montreal,Toronto FC,4,2,0.25,1.88,2.03,2.75,1.97,1.92,1.3576529284443042,1.5673654287287553
2021-04-17,Orlando City,Atlanta Utd,0,0,-0.5,1.87,2.04,2.75,1.96,1.93,1.7805101872571034,1.1471528188942273
2021-04-17,Los Angeles FC,Austin FC,2,0,-1.5,2.04,1.87,3.25,1.85,2.05,2.5278164627663013,1.0343088338051099
2021-04-18,Columbus Crew,Philadelphia Union,0,0,-0.5,1.87,2.05,2.5,1.87,2.02,1.7154017803338515,1.076200253708524
2021-04-18,DC United,New York City,2,1,0.5,1.99,1.92,2.75,1.93,1.96,1.194371230022128,1.776272237802717
2021-04-18,Nashville SC,FC Cincinnati,2,2,-0.75,2.02,1.89,2.0,1.92,1.96,1.479867051090405,0.7170068407697661
2021-04-18,Chicago Fire,New England Revolution,2,2,0.0,1.81,2.12,2.75,1.93,1.95,1.5422199817646447,1.4174038577327777
2021-04-18,New York Red Bulls,Sporting Kansas City,1,2,-0.25,1.88,2.02,2.5,1.85,2.05,1.584346616348966,1.2392111594175237
2021-04-18,FC Dallas,Colorado Rapids,0,0,-0.25,1.93,1.97,2.75,1.96,1.93,1.6145088155211775,1.3167022675028333
2021-04-19,Vancouver Whitecaps,Portland Timbers,1,0,0.75,1.89,2.02,2.75,1.94,1.94,1.1080892619641114,1.8472865050178768
2021-04-23,Sporting Kansas City,Orlando City,1,1,-0.25,1.85,2.06,2.75,1.98,1.91,1.6434322790474358,1.2657434235984122
2021-04-24,New York City,FC Cincinnati,5,0,-1.25,1.91,2.0,3.0,1.92,1.97,2.2971058788018803,0.9145725963148437
2021-04-24,Toronto FC,Vancouver Whitecaps,2,2,-0.5,1.85,2.0700000000000003,2.75,1.93,1.96,1.809190409046085,1.150077481770233
2021-04-24,San Jose Earthquakes,FC Dallas,3,1,-0.25,1.93,1.98,2.75,1.89,1.99,1.6514792234935802,1.3495667337837796
2021-04-24,Los Angeles FC,Seattle Sounders,1,1,-0.75,2.05,1.86,3.0,1.82,2.08,2.011137331028957,1.3144841182260874
2021-04-24,Nashville SC,Club de Foot Montreal,2,2,-1.0,1.99,1.92,2.75,1.93,1.95,1.994701302986236,0.9545621455460531
2021-04-25,Los Angeles Galaxy,New York Red Bulls,3,2,-0.5,2.0700000000000003,1.85,3.0,2.02,1.88,1.7762672524697891,1.3530966107542324
2021-04-25,Portland Timbers,Houston Dynamo,2,1,-0.5,2.08,1.84,3.0,1.99,1.9,1.7826846363971238,1.3711039271496563
2021-04-25,Philadelphia Union,Inter Miami,1,2,-0.5,2.04,1.88,2.75,1.98,1.91,1.6852841795402902,1.223040730855161
2021-04-25,New England Revolution,DC United,1,0,-1.25,2.1100000000000003,1.81,2.75,1.9,1.99,2.0908443818026337,0.8934445400675807
2021-04-25,Minnesota United,Real Salt Lake,1,2,-0.75,2.0,1.91,2.75,1.94,1.94,1.849066264051374,1.093112003772533
2021-04-25,Atlanta Utd,Chicago Fire,3,1,-0.5,1.99,1.92,2.75,1.96,1.93,1.7186331897099352,1.2103973489796596
2021-04-25,Colorado Rapids,Austin FC,1,3,-1.0,1.98,1.93,3.0,1.92,1.97,2.12900824068809,1.0870520661172804
2021-05-01,Orlando City,FC Cincinnati,3,0,-1.25,2.05,1.86,2.75,1.84,2.05,2.148019141570787,0.9000208022383692
2021-05-01,Philadelphia Union,New York City,0,2,0.0,1.87,2.04,2.75,1.97,1.92,1.495399356465665,1.427304969216094
2021-05-01,New England Revolution,Atlanta Utd,2,1,-0.5,1.88,2.03,2.5,1.87,2.02,1.7079585300127005,1.0838460134745256
2021-05-01,Houston Dynamo,Los Angeles FC,1,1,0.25,1.93,1.98,3.25,1.98,1.91,1.5866910559044447,1.83595814854777
2021-05-01,Club de Foot Montreal,Columbus Crew,0,0,0.25,1.92,1.98,2.75,1.96,1.93,1.34227001697841,1.5937638202857325
2021-05-01,Real Salt Lake,Sporting Kansas City,3,1,0.0,1.89,2.02,2.75,2.03,1.86,1.4553756254137629,1.4040034925778877
2021-05-01,New York Red Bulls,Chicago Fire,2,0,-0.25,1.86,2.05,2.75,1.84,2.05,1.7144229747609374,1.3456811863363642
2021-05-02,Minnesota United,Austin FC,0,1,-0.5,1.98,1.92,2.75,1.9,1.99,1.7524822681130245,1.2406746673703388
2021-05-02,FC Dallas,Portland Timbers,4,1,-0.5,1.91,2.0,2.75,1.9,1.99,1.7915330753738756,1.2006958053750887
2021-05-02,San Jose Earthquakes,DC United,4,1,-0.5,1.93,1.98,2.75,1.97,1.92,1.7443487339055668,1.1734111387523396
